,g_voc_min,g_voc_max,g_voc_std,g_voc_rms,g_voc_avg,g_eth_min,g_eth_max,g_eth_std,g_eth_rms,g_eth_avg,g_no2_min,g_no2_max,g_no2_std,g_no2_rms,g_no2_avg,g_co_min,g_co_max,g_co_std,g_co_rms,g_co_avg,ens_tvoc_min,ens_tvoc_max,ens_tvoc_std,ens_tvoc_rms,ens_tvoc_avg,ens_co2_min,ens_co2_max,ens_co2_std,ens_co2_rms,ens_co2_avg,temp_min,temp_max,temp_std,temp_rms,temp_avg,pressure_min,pressure_max,pressure_std,pressure_rms,pressure_avg,humidity_min,humidity_max,humidity_std,humidity_rms,humidity_avg,altitude_min,altitude_max,altitude_std,altitude_rms,altitude_avg,target
1603,0.5561224489795918,0.5637755102040817,0.0029943566091257053,1.7699302419091238,0.5596938775510203,0.5012853470437018,0.5089974293059126,0.003017449333617675,1.5982358881850378,0.5053984575835475,0.36923076923076925,0.37435897435897436,0.0016216808513684056,1.1741070158555102,0.3712820512820513,0.24999999999999992,0.25515463917525766,0.0018020770587115862,0.8019979170444052,0.2536082474226804,0.010650333554402529,0.010650333554402529,1.828559098217032e-18,0.033679311872428806,0.01065033355440253,0.03216998037375202,0.03216998037375202,0.0,0.10173041026397123,0.03216998037375202,0.05017921146953424,0.053763440860215166,0.0012095852288720114,0.16608755905516354,0.05250896057347668,0.0469327605155563,0.06229393545809345,0.004799616809431528,0.17707239342775755,0.05580977120592608,0.835904628330996,0.8611500701262275,0.00771600973755131,2.6984579519641656,0.8532959326788221,0.9378330373001778,0.9532267613972761,0.004795879248852955,2.986037342093751,0.944256956779159,1.0
1604,0.5459183673469388,0.5535714285714286,0.002994356609125705,1.737662525845457,0.5494897959183674,0.493573264781491,0.5012853470437018,0.0026550014369888008,1.570591003816132,0.4966580976863753,0.3564102564102565,0.36923076923076925,0.004530720779726002,1.1490412777564458,0.3633333333333334,0.24226804123711337,0.24999999999999992,0.0022566882365229646,0.7816335146453994,0.2471649484536082,0.009948113759606757,0.009948113759606757,0.0,0.03145869790281812,0.009948113759606757,0.030548681628125268,0.030548681628125268,7.314236392868128e-18,0.09660341346021672,0.030548681628125275,0.05017921146953424,0.053763440860215166,0.0011334328531069889,0.16551612744112984,0.0523297491039426,0.04778199620342849,0.06124487960836257,0.0045456524952700444,0.17189370092191356,0.054186232390859644,0.830294530154278,0.8667601683029453,0.00961408722501793,2.697182330276199,0.8528751753155683,0.9387211367673182,0.9523386619301357,0.004531553309751492,2.991088725061864,0.9458555358200117,1.0
1605,0.5408163265306123,0.5561224489795918,0.005137349478569113,1.7223808956222,0.5446428571428571,0.4910025706940873,0.4987146529562982,0.0029184895228665806,1.5592144416961358,0.4930591259640102,0.3538461538461538,0.44102564102564107,0.03143742647201864,1.196469164474564,0.3771794871794872,0.23711340206185563,0.24226804123711337,0.0014630057015400735,0.7587963279833642,0.2399484536082474,0.009518979440564897,0.009518979440564897,0.0,0.030101656032500472,0.009518979440564897,0.029524703472992575,0.029524703472992575,0.0,0.09336531021574018,0.029524703472992575,0.05197132616487438,0.053763440860215166,0.0007556219020714157,0.16889670829151865,0.05340501792114701,0.05165351183936342,0.06251873314017084,0.0037462542784137574,0.1805011624735099,0.05696872814467742,0.8485273492286117,0.8737727910238431,0.008243270977425408,2.719316424355151,0.8598877980364659,0.9375370041444637,0.945529899348727,0.0033323277088547114,2.981057905493618,0.9426879810538779,1.0
1606,0.5612244897959184,0.5841836734693878,0.007553203398368188,1.8224840450725326,0.5762755102040817,0.5012853470437018,0.5269922879177378,0.009023913362057094,1.633390378701675,0.5164524421593829,0.4641025641025641,0.517948717948718,0.017640826872265206,1.5982320936319154,0.5051282051282051,0.2396907216494845,0.25515463917525766,0.006318960669564697,0.7850931750069213,0.24819587628865974,0.011430577770842274,0.011430577770842274,0.0,0.036146660727551794,0.011430577770842274,0.033961942145234236,0.033961942145234236,0.0,0.10739709094180519,0.033961942145234236,0.05017921146953424,0.053763440860215166,0.001017287118633618,0.16494271615719877,0.05215053763440852,0.05165351183936342,0.059521430712363155,0.002732580794806167,0.17369388760918722,0.05486562094116102,0.8527349228611505,0.8611500701262275,0.0022126525602990258,2.712559337882266,0.8577840112201967,0.9404973357015989,0.9484902309058612,0.0027903295140659944,2.9889164331289284,0.9451746595618709,1.0
1607,0.5714285714285715,0.5816326530612246,0.0038028366964282098,1.8231855700002748,0.576530612244898,0.5244215938303342,0.5295629820051414,0.001713796058269083,1.6665038701185433,0.5269922879177378,0.45128205128205123,0.5051282051282052,0.018412803671123544,1.5116053355076866,0.4776923076923077,0.24742268041237112,0.25773195876288657,0.003889770248340805,0.8028795225226868,0.2538659793814433,0.011430577770842274,0.017867592556470174,0.0020355628054764658,0.05480799104192315,0.017223891077907384,0.033961942145234236,0.03874050686918679,0.0015111148474223847,0.12108201917134442,0.03826265039679153,0.05197132616487438,0.053763440860215166,0.0009254440492731238,0.16777103567696705,0.05304659498207885,0.053327005694889074,0.06656509141774576,0.003957888427406242,0.18319795034329284,0.05781047057648764,0.8232819074333804,0.8807854137447408,0.01779542734050561,2.693122137078939,0.8514726507713887,0.933392539964476,0.9467140319715804,0.0044068191985620515,2.978262068735216,0.9417998815867377,1.0
1608,0.5561224489795918,0.5688775510204082,0.004696156895062609,1.77883697538764,0.5625,0.5141388174807198,0.5244215938303342,0.0030776838039533938,1.6413212387685958,0.5190231362467865,0.4025641025641025,0.4461538461538461,0.014557540353808084,1.3410305436984462,0.4238461538461539,0.23453608247422678,0.24484536082474218,0.0037348909139663304,0.7572364955637209,0.2394329896907216,0.017867592556470174,0.020754496157297235,0.0009129190763955069,0.06477648385373676,0.02046580579721453,0.03874050686918679,0.04061780015359672,0.000593652261487364,0.12786351346783492,0.04043007082515573,0.05197132616487438,0.053763440860215166,0.0005667164265535618,0.16492324355030027,0.05215053763440845,0.05140373663703096,0.06082026176442648,0.0031761361211579955,0.17525237982183833,0.055337696073541734,0.847124824684432,0.8569424964936887,0.0036841305852914406,2.6979377869689993,0.8531556802244042,0.9393132030787444,0.9487862640615744,0.003164002220544179,2.98751558149175,0.9447306098283006,1.0
1609,0.5408163265306123,0.5535714285714286,0.004467321611076092,1.732850911758522,0.5479591836734695,0.5012853470437018,0.5141388174807198,0.0038417329514070175,1.6039421337923212,0.50719794344473,0.3641025641025641,0.3974358974358974,0.010895340841010204,1.2045415920898261,0.38076923076923075,0.2242268041237113,0.2319587628865979,0.002770535308693663,0.7221555662870975,0.22835051546391752,0.020442398470721337,0.020754496157297235,9.869395420491936e-05,0.06474391097134168,0.020473608239378927,0.04044713712774128,0.04061780015359672,5.3968387407940975e-05,0.12795914897259314,0.04046420343032682,0.05197132616487438,0.053763440860215166,0.0005667164265535618,0.16945674050182966,0.053584229390681096,0.0525027475272356,0.06186931761415736,0.0028831231337402524,0.17960895402918356,0.056731441702479755,0.8457223001402527,0.8737727910238431,0.008210061306597554,2.7073410490345013,0.8561009817671812,0.938129070455891,0.9476021314387209,0.002911410793750044,2.983019821840287,0.9433096506808761,1.0
1610,0.5306122448979592,0.5408163265306123,0.0038028366964282098,1.694115731963472,0.5357142857142858,0.4910025706940873,0.5012853470437018,0.003522674342946797,1.568167642344214,0.4958868894601542,0.34102564102564104,0.3615384615384616,0.007053224285735998,1.1134849723705018,0.3520512820512821,0.2164948453608247,0.2242268041237113,0.002836352924264466,0.693634226991792,0.21932989690721644,0.01708734834003043,0.020442398470721337,0.001414613343603848,0.05631698763978615,0.017758358366168608,0.038143186278692724,0.04044713712774128,0.0009714309733429611,0.12211127335176322,0.038603976448502435,0.05197132616487438,0.053763440860215166,0.0007556219020714157,0.16549672230272647,0.05232974910394254,0.053327005694889074,0.060795284244171424,0.002550628955166576,0.18081053339324943,0.05712608652213887,0.8485273492286117,0.8639551192145863,0.004086353133877867,2.7028216390156423,0.8546984572230016,0.9393132030787444,0.9467140319715804,0.0024815042919282015,2.9812376657442305,0.9427471876850204,1.0
1611,0.5178571428571429,0.528061224489796,0.003647552821348165,1.657005090030858,0.5239795918367347,0.47814910025706936,0.4910025706940873,0.0040646242418616646,1.5324118551488028,0.4845758354755783,0.32564102564102565,0.34102564102564104,0.005191911982388874,1.053396872225374,0.3330769230769231,0.20876288659793815,0.2139175257731958,0.002033017107594344,0.6699742144107805,0.21185567010309275,0.014395505793313307,0.01708734834003043,0.0011349804733565754,0.04734764664637111,0.014933874302656733,0.03626589299428279,0.038143186278692724,0.0007915363486498216,0.11589445748768257,0.03664135165116478,0.05197132616487438,0.053763440860215166,0.0005667164265535618,0.16945674050182966,0.053584229390681096,0.050579478469377485,0.06294335098410693,0.003987589810180258,0.18175353378272094,0.05735088420421991,0.8429172510518937,0.8821879382889201,0.01141715856782767,2.7074456732158407,0.856100981767181,0.9369449378330375,0.9493783303730016,0.0040063639834071844,2.9810653724475205,0.9426879810538779,1.0
1612,0.5076530612244898,0.5178571428571429,0.0034119732394113666,1.6239263745792618,0.5135204081632654,0.4704370179948586,0.47814910025706936,0.0027766669658988194,1.499869477076458,0.474293059125964,0.3153846153846154,0.32564102564102565,0.0036362474164414985,1.01117685519331,0.3197435897435897,0.20618556701030927,0.20876288659793815,0.0012449636379887924,0.6577317567785619,0.20798969072164947,0.011430577770842274,0.014395505793313307,0.0014321962999654053,0.03919564412486247,0.012320056177583586,0.033961942145234236,0.03626589299428279,0.0011129139919421871,0.10963366081615614,0.0346531273999488,0.05197132616487438,0.053763440860215166,0.0009254440492731238,0.1666377590839902,0.0526881720430107,0.04778199620342849,0.06144469977022126,0.004969340266146844,0.17402159210636187,0.05482815466081843,0.8555399719495095,0.8639551192145863,0.0028819139798825695,2.7187742036066993,0.8597475455820478,0.9390171699230313,0.9523386619301357,0.004779914463977567,2.9896880118972757,0.9454114860864415,1.0
